0,1,departure,destination,distance,weighted_distance,log
"('44691', '91402')",1,44691,91402,4049715.47873,4049715.47873,inf
"('21620', '29928')",1,21620,29928,540259.492803,540259.492803,inf
"('30032', '94578')",1,30032,94578,4208639.89024,4208639.89024,inf
"('29910', '66061')",1,29910,66061,1553028.86186,1553028.86186,inf
"('60077', '85043')",1,60077,85043,2715020.28345,2715020.28345,inf
"('75032', '75087')",1,75032,75087,2641.18275519,2641.18275519,inf
"('33328', '33351')",1,33328,33351,2091.63675121,2091.63675121,inf
"('39507', '55401')",1,39507,55401,468190.460293,468190.460293,inf
"('71253', '73012')",1,71253,73012,698964.694696,698964.694696,inf
"('60123', '60618')",1,60123,60618,67690.6361183,67690.6361183,inf
"('92069', '93033')",1,92069,93033,224887.386469,224887.386469,inf
"('90803', '93614')",1,90803,93614,258675.688256,258675.688256,inf
"('62269', '63127')",1,62269,63127,55810.1741105,55810.1741105,inf
"('37743', '97224')",1,37743,97224,4432105.36279,4432105.36279,inf
"('14830', '37917')",1,14830,37917,772406.164321,772406.164321,inf
"('92029', '92069')",1,92029,92069,5657.53193045,5657.53193045,inf
"('10036', '89149')",1,10036,89149,4589160.66504,4589160.66504,inf
"('53214', '92117')",1,53214,92117,3242135.70553,3242135.70553,inf
"('72908', '85381')",1,72908,85381,1982091.24536,1982091.24536,inf
"('92586', '92618')",1,92586,92618,59332.8753217,59332.8753217,inf
"('93306', '93309')",1,93306,93309,32415.6286182,32415.6286182,inf
"('30512', '45879')",1,30512,45879,96581.0417516,96581.0417516,inf
"('75460', '75462')",1,75460,75462,12783.6397528,12783.6397528,inf
"('14838', '30189')",1,14838,30189,889304.0169,889304.0169,inf
"('80233', '97735')",1,80233,97735,1782600.58311,1782600.58311,inf
"('45434', '90631')",1,45434,90631,3768976.66268,3768976.66268,inf
"('75803', '90301')",1,75803,90301,2522316.66424,2522316.66424,inf
"('32459', '37072')",1,32459,37072,74613.5926457,74613.5926457,inf
"('54115', '54303')",1,54115,54303,5321.62196504,5321.62196504,inf
"('27511', '27513')",1,27511,27513,1785.6960873,1785.6960873,inf
"('60477', '60487')",1,60477,60487,5022.38903989,5022.38903989,inf
"('43016', '85258')",1,43016,85258,3192556.30818,3192556.30818,inf
"('58401', '58405')",1,58401,58405,7485.18062231,7485.18062231,inf
"('33160', '95926')",1,33160,95926,4612640.92367,4612640.92367,inf
"('93101', '98133')",1,93101,98133,815967.558148,815967.558148,inf
"('19804', '97838')",1,19804,97838,4849409.94807,4849409.94807,inf
"('30655', '55317')",1,30655,55317,1091001.79487,1091001.79487,inf
"('33166', '94578')",1,33166,94578,4630655.12732,4630655.12732,inf
"('48103', '48104')",2,48103,48104,14604.1418973,7302.07094864,21070.3230916
"('50010', '85258')",1,50010,85258,2040851.83579,2040851.83579,inf
"('90301', '91740')",1,90301,91740,56643.7536291,56643.7536291,inf
"('11355', '32127')",1,11355,32127,840124.218094,840124.218094,inf
"('67401', '67449')",1,67401,67449,84606.670489,84606.670489,inf
"('94560', '99503')",1,94560,99503,4477147.18011,4477147.18011,inf
"('43221', '63010')",1,43221,63010,813483.134399,813483.134399,inf
"('77389', '85258')",2,77389,85258,1822701.04361,911350.521805,2629602.75664
"('15234', '15236')",1,15234,15236,4722.11837299,4722.11837299,inf
"('92064', '92673')",1,92064,92673,70560.8689318,70560.8689318,inf
"('11217', '11238')",1,11217,11238,1592.44325701,1592.44325701,inf
"('68138', '98250')",1,68138,98250,3007351.24848,3007351.24848,inf
"('14623', '15066')",1,14623,15066,294884.467359,294884.467359,inf
"('30144', '30354')",3,30144,30354,23047.5800491,7682.52668305,20979.8114395
"('33702', '41042')",1,33702,41042,262512.435781,262512.435781,inf
"('60425', '99163')",1,60425,99163,3291064.79758,3291064.79758,inf
"('90058', '95301')",1,90058,95301,326060.376525,326060.376525,inf
"('33705', '35180')",1,33705,35180,470125.424963,470125.424963,inf
"('98501', '98506')",2,98501,98506,8096.73711021,4048.3685551,11682.1224763
"('45432', '45434')",1,45432,45434,5938.24280599,5938.24280599,inf
"('27302', '90703')",1,27302,90703,4314027.22408,4314027.22408,inf
"('19711', '93033')",1,19711,93033,4819135.94151,4819135.94151,inf
"('14105', '27518')",1,14105,27518,166738.460695,166738.460695,inf
"('66101', '80501')",1,66101,80501,1165133.68719,1165133.68719,inf
"('32828', '90058')",1,32828,90058,4116250.0382,4116250.0382,inf
"('61264', '69337')",1,61264,69337,1380732.73443,1380732.73443,inf
"('10309', '28212')",1,10309,28212,736094.26602,736094.26602,inf
"('30030', '30032')",1,30030,30032,2890.49086541,2890.49086541,inf
"('40258', '84062')",1,40258,84062,2867685.97589,2867685.97589,inf
"('37743', '37745')",1,37743,37745,4933.21071995,4933.21071995,inf
"('33445', '33484')",2,33445,33484,3121.75412049,1560.87706024,4504.7391885
"('30815', '90058')",1,30815,90058,4017135.75187,4017135.75187,inf
"('37022', '37066')",1,37022,37066,15422.0909098,15422.0909098,inf
"('60616', '94590')",1,60616,94590,3849602.71865,3849602.71865,inf
"('14020', '14054')",1,14020,14054,9787.62259573,9787.62259573,inf
"('90404', '95119')",1,90404,95119,409236.788546,409236.788546,inf
"('17241', '31904')",1,17241,31904,853285.961425,853285.961425,inf
"('14606', '18951')",1,14606,18951,270467.793555,270467.793555,inf
"('48813', '89119')",1,48813,89119,3366137.56036,3366137.56036,inf
"('11751', '91744')",1,11751,91744,4964551.06821,4964551.06821,inf
"('33458', '33478')",2,33458,33478,12700.7179086,6350.35895432,18324.2627425
"('92109', '95521')",1,92109,95521,885343.294775,885343.294775,inf
"('18040', '20785')",1,18040,20785,190550.158865,190550.158865,inf
"('48109', '90301')",1,48109,90301,3846728.71961,3846728.71961,inf
"('60120', '66202')",1,60120,66202,714905.774498,714905.774498,inf
"('75071', '90301')",1,75071,90301,2416108.64124,2416108.64124,inf
"('50626', '85710')",1,50626,85710,2077974.25411,2077974.25411,inf
"('28054', '28056')",1,28054,28056,2790.01005038,2790.01005038,inf
"('63077', '96002')",1,63077,96002,3484295.15304,3484295.15304,inf
"('44087', '54701')",1,44087,54701,1120177.90753,1120177.90753,inf
"('31204', '31210')",1,31204,31210,6741.14413422,6741.14413422,inf
"('93033', '93720')",1,93033,93720,164088.094129,164088.094129,inf
"('10027', '10036')",1,10027,10036,4394.04339398,4394.04339398,inf
"('45315', '45406')",1,45315,45406,10924.9178633,10924.9178633,inf
"('10034', '10040')",1,10034,10040,744.231982663,744.231982663,inf
"('30096', '92021')",1,30096,92021,3638695.01873,3638695.01873,inf
"('45601', '45644')",1,45601,45644,12651.5476668,12651.5476668,inf
"('15216', '95066')",1,15216,95066,4666388.28629,4666388.28629,inf
"('80906', '92707')",1,80906,92707,1457773.61037,1457773.61037,inf
"('13101', '18428')",1,13101,18428,109330.617553,109330.617553,inf
"('95113', '95125')",1,95113,95125,2270.31933953,2270.31933953,inf
"('75070', '92009')",1,75070,92009,2284788.18044,2284788.18044,inf
"('98499', '99163')",1,98499,99163,588198.061911,588198.061911,inf
"('30096', '30342')",1,30096,30342,25580.1087341,25580.1087341,inf
"('84092', '84093')",1,84092,84093,13698.4970357,13698.4970357,inf
"('36111', '60707')",1,36111,60707,178856.943179,178856.943179,inf
"('48223', '90720')",1,48223,90720,3864459.09103,3864459.09103,inf
"('41071', '41076')",1,41071,41076,3533.56623269,3533.56623269,inf
"('28205', '28211')",1,28205,28211,1265.18950397,1265.18950397,inf
"('29206', '29412')",1,29206,29412,114494.528403,114494.528403,inf
"('95030', '95032')",1,95030,95032,6315.89180324,6315.89180324,inf
"('76255', '90740')",1,76255,90740,2261255.02408,2261255.02408,inf
"('91605', '98178')",1,91605,98178,857615.072362,857615.072362,inf
"('66213', '85260')",1,66213,85260,1913497.56343,1913497.56343,inf
"('32808', '32818')",1,32808,32818,4737.61552077,4737.61552077,inf
"('66749', '85043')",1,66749,85043,1869392.0929,1869392.0929,inf
"('72117', '90058')",1,72117,90058,2898980.80812,2898980.80812,inf
"('21075', '28023')",1,21075,28023,435508.764648,435508.764648,inf
"('46319', '53511')",1,46319,53511,185969.938805,185969.938805,inf
"('20852', '91745')",1,20852,91745,4538378.01174,4538378.01174,inf
"('30062', '91423')",1,30062,91423,3776662.10949,3776662.10949,inf
"('43085', '87105')",1,43085,87105,2621404.50831,2621404.50831,inf
"('47712', '47713')",1,47712,47713,11826.9623065,11826.9623065,inf
"('97206', '97236')",1,97206,97236,9795.27227266,9795.27227266,inf
"('63771', '90301')",1,63771,90301,3186233.62248,3186233.62248,inf
"('11356', '15701')",1,11356,15701,590320.852126,590320.852126,inf
"('44132', '77042')",1,44132,77042,1555692.64566,1555692.64566,inf
"('32174', '91733')",1,32174,91733,4099600.31932,4099600.31932,inf
"('30066', '62448')",1,30066,62448,409653.451868,409653.451868,inf
"('33304', '33334')",1,33304,33334,1595.56873842,1595.56873842,inf
"('30354', '32401')",1,30354,32401,145570.608143,145570.608143,inf
"('80126', '80130')",1,80126,80130,3917.20950547,3917.20950547,inf
"('83445', '91744')",1,83445,91744,826503.4913,826503.4913,inf
"('77047', '94804')",1,77047,94804,3004584.8726,3004584.8726,inf
"('77025', '77030')",1,77025,77030,3677.87813186,3677.87813186,inf
"('75021', '77494')",1,75021,77494,85620.3331392,85620.3331392,inf
"('18106', '19072')",1,18106,19072,37754.0106109,37754.0106109,inf
"('28269', '76108')",1,28269,76108,1858755.67861,1858755.67861,inf
"('11096', '60188')",1,11096,60188,1598202.65299,1598202.65299,inf
"('33908', '33912')",1,33908,33912,17047.8936821,17047.8936821,inf
"('77469', '93033')",1,77469,93033,2609804.78276,2609804.78276,inf
"('20707', '20723')",1,20707,20723,1642.66063401,1642.66063401,inf
"('34434', '90631')",1,34434,90631,3946329.15196,3946329.15196,inf
"('33705', '97365')",1,33705,97365,4569832.96884,4569832.96884,inf
"('35023', '35203')",1,35023,35203,30959.4571856,30959.4571856,inf
"('47501', '47546')",1,47501,47546,26843.9743292,26843.9743292,inf
"('35405', '90058')",1,35405,90058,3411151.86326,3411151.86326,inf
"('94568', '94583')",2,94568,94583,6862.6094466,3431.3047233,9901.65261617
"('15120', '43701')",1,15120,43701,231795.66735,231795.66735,inf
"('30066', '60647')",1,30066,60647,359495.229464,359495.229464,inf
"('87020', '87114')",1,87020,87114,140779.898708,140779.898708,inf
"('45805', '84405')",1,45805,84405,3091306.70921,3091306.70921,inf
"('46383', '46385')",1,46383,46385,13588.0317702,13588.0317702,inf
"('84088', '94010')",1,84088,94010,1166767.40422,1166767.40422,inf
"('88045', '93033')",1,88045,93033,1155898.47546,1155898.47546,inf
"('44120', '44128')",1,44120,44128,4641.14193106,4641.14193106,inf
"('33570', '33573')",1,33570,33573,11480.5524743,11480.5524743,inf
"('45419', '56601')",1,45419,56601,1186696.13181,1186696.13181,inf
"('80231', '85935')",1,80231,85935,586127.641238,586127.641238,inf
"('44120', '49601')",1,44120,49601,438268.691881,438268.691881,inf
"('33130', '91010')",1,33130,91010,4189227.58935,4189227.58935,inf
"('28277', '91601')",1,28277,91601,4175825.19485,4175825.19485,inf
"('91706', '91790')",1,91706,91790,3821.26137852,3821.26137852,inf
"('84606', '95726')",1,84606,95726,989574.045673,989574.045673,inf
"('97103', '97338')",1,97103,97338,84434.5738864,84434.5738864,inf
"('92627', '95304')",1,92627,95304,446287.626709,446287.626709,inf
"('25015', '25301')",1,25015,25301,14898.1628729,14898.1628729,inf
"('46307', '46321')",2,46307,46321,19720.1030138,9860.05150692,28451.0948239
"('30354', '91766')",1,30354,91766,3710475.31708,3710475.31708,inf
"('60544', '70769')",1,60544,70769,301325.300043,301325.300043,inf
"('75042', '92701')",1,75042,92701,2355614.7984,2355614.7984,inf
"('90006', '90007')",1,90006,90007,1477.00562253,1477.00562253,inf
"('43229', '87114')",1,43229,87114,2634123.21043,2634123.21043,inf
"('91401', '91406')",1,91401,91406,6619.23181851,6619.23181851,inf
"('94806', '98271')",1,94806,98271,600000.340101,600000.340101,inf
"('75052', '75054')",1,75052,75054,1921.72126249,1921.72126249,inf
"('97222', '97267')",1,97222,97267,2034.52145211,2034.52145211,inf
"('32033', '56003')",1,32033,56003,1397502.72987,1397502.72987,inf
"('75234', '97301')",1,75234,97301,2924208.65812,2924208.65812,inf
"('11704', '28001')",1,11704,28001,773054.70068,773054.70068,inf
"('30117', '30127')",1,30117,30127,48758.2140914,48758.2140914,inf
"('50595', '90301')",1,50595,90301,2733624.73143,2733624.73143,inf
"('14609', '19301')",1,14609,19301,244510.118155,244510.118155,inf
"('28043', '28114')",1,28043,28114,13939.8263929,13939.8263929,inf
"('60513', '60560')",1,60513,60560,64697.8338364,64697.8338364,inf
"('20785', '21108')",1,20785,21108,29317.0741222,29317.0741222,inf
"('31768', '31793')",3,31768,31793,27728.0990937,9242.69969789,25240.2034748
"('37064', '45203')",1,37064,45203,270362.570986,270362.570986,inf
"('10036', '10471')",1,10036,10471,10536.1042281,10536.1042281,inf
"('73012', '73107')",3,73012,73107,3383.55533723,1127.85177908,3080.84479341
"('35203', '78118')",1,35203,78118,1250427.20219,1250427.20219,inf
"('18853', '45365')",1,18853,45365,876885.625929,876885.625929,inf
"('55311', '55369')",2,55311,55369,5742.74175171,2871.37087585,8286.02504629
"('30518', '31021')",1,30518,31021,122318.261141,122318.261141,inf
"('20785', '25984')",1,20785,25984,413574.258237,413574.258237,inf
"('59845', '59848')",1,59845,59848,15430.5995687,15430.5995687,inf
"('42104', '42217')",1,42104,42217,112007.712523,112007.712523,inf
"('59106', '90058')",1,59106,90058,1174857.31619,1174857.31619,inf
"('94063', '95125')",1,94063,95125,35779.241257,35779.241257,inf
"('49544', '93033')",1,49544,93033,3706792.04199,3706792.04199,inf
"('30518', '31768')",3,30518,31768,40290.3508912,13430.1169637,36674.8578358
"('20912', '91344')",1,20912,91344,4611786.54361,4611786.54361,inf
"('75002', '75234')",1,75002,75234,31556.8564883,31556.8564883,inf
"('56326', '56377')",1,56326,56377,158280.084896,158280.084896,inf
"('78130', '98281')",1,78130,98281,2841699.19422,2841699.19422,inf
"('78240', '78249')",1,78240,78249,910.642342417,910.642342417,inf
"('33805', '33873')",1,33805,33873,16424.3149941,16424.3149941,inf
"('76877', '97470')",1,76877,97470,2750239.77364,2750239.77364,inf
"('94610', '94612')",1,94610,94612,2977.14949087,2977.14949087,inf
"('55314', '55413')",1,55314,55413,149905.167976,149905.167976,inf
"('48624', '85258')",1,48624,85258,3042678.67109,3042678.67109,inf
"('13132', '85043')",1,13132,85043,3982648.57966,3982648.57966,inf
"('33066', '33069')",2,33066,33069,1510.04696518,755.023482589,2179.53726817
"('60630', '60901')",1,60630,60901,16131.9041509,16131.9041509,inf
"('53226', '65201')",1,53226,65201,466290.723938,466290.723938,inf
"('30904', '91010')",1,30904,91010,3996690.25438,3996690.25438,inf
"('39211', '90058')",1,39211,90058,3123893.01761,3123893.01761,inf
"('72206', '90250')",1,72206,90250,2903667.73246,2903667.73246,inf
"('34119', '34120')",3,34119,34120,16035.0040217,5345.00134056,14596.6896597
"('85323', '85338')",2,85323,85338,9539.26467776,4769.63233888,13763.2498443
"('79762', '91744')",1,79762,91744,1733860.20773,1733860.20773,inf
"('27409', '28546')",1,27409,28546,288687.787061,288687.787061,inf
"('59801', '59833')",1,59801,59833,10635.7342364,10635.7342364,inf
"('68803', '68818')",1,68803,68818,45498.1950857,45498.1950857,inf
"('14858', '85258')",1,14858,85258,3855117.98765,3855117.98765,inf
"('97439', '97453')",1,97439,97453,23068.3768479,23068.3768479,inf
"('11767', '43026')",1,11767,43026,1117548.84768,1117548.84768,inf
"('85087', '90301')",1,85087,90301,692943.060734,692943.060734,inf
"('33054', '33066')",1,33054,33066,12379.1208413,12379.1208413,inf
"('97301', '97391')",3,97301,97391,101452.837488,33817.612496,92347.3523343
"('12018', '94545')",1,12018,94545,5399830.3665,5399830.3665,inf
"('43085', '68046')",1,43085,68046,1449854.29925,1449854.29925,inf
"('33705', '93304')",1,33705,93304,4039403.43062,4039403.43062,inf
"('32720', '32738')",1,32720,32738,20531.9694715,20531.9694715,inf
"('30306', '30308')",1,30306,30308,2965.56031824,2965.56031824,inf
"('78539', '78542')",1,78539,78542,10501.2056165,10501.2056165,inf
"('76028', '97735')",1,76028,97735,2644995.76921,2644995.76921,inf
"('33330', '33332')",1,33330,33332,15717.9345853,15717.9345853,inf
"('43085', '49082')",1,43085,49082,208270.890875,208270.890875,inf
"('38655', '89103')",1,38655,89103,2861952.60174,2861952.60174,inf
"('68502', '92618')",1,68502,92618,2346299.78361,2346299.78361,inf
"('53212', '90301')",1,53212,90301,3383136.93325,3383136.93325,inf
"('10029', '11237')",1,10029,11237,3703.16084567,3703.16084567,inf
"('60630', '79903')",1,60630,79903,2074242.63784,2074242.63784,inf
"('75144', '91733')",1,75144,91733,2429639.28272,2429639.28272,inf
"('76302', '76308')",1,76302,76308,5531.79118917,5531.79118917,inf
"('92880', '93033')",2,92880,93033,169481.063564,84740.5317822,244510.489929
"('76051', '77521')",1,76051,77521,236382.317077,236382.317077,inf
"('19153', '91436')",1,19153,91436,4804620.34583,4804620.34583,inf
"('19804', '90021')",1,19804,90021,4733702.77901,4733702.77901,inf
"('34275', '66085')",1,34275,66085,1353742.25811,1353742.25811,inf
"('85258', '97470')",1,85258,97470,1352808.52033,1352808.52033,inf
"('60544', '70058')",1,60544,70058,205130.167672,205130.167672,inf
"('44101', '44130')",1,44101,44130,13456.3143684,13456.3143684,inf
"('55427', '55442')",1,55427,55442,5240.89579615,5240.89579615,inf
"('78028', '91710')",1,78028,91710,2063064.95074,2063064.95074,inf
"('90745', '91108')",1,90745,91108,23040.6477612,23040.6477612,inf
"('10471', '92708')",1,10471,92708,4888525.12475,4888525.12475,inf
"('95355', '95357')",1,95355,95357,6611.46174125,6611.46174125,inf
"('55308', '85258')",1,55308,85258,2019542.67345,2019542.67345,inf
"('33705', '44146')",1,33705,44146,242037.332183,242037.332183,inf
"('14304', '14305')",1,14304,14305,7936.58105611,7936.58105611,inf
"('30084', '98230')",1,30084,98230,4260485.1092,4260485.1092,inf
"('80206', '80246')",2,80206,80246,2523.15777639,1261.57888819,3641.14721137
"('81504', '81505')",1,81504,81505,7911.44544617,7911.44544617,inf
"('91746', '94541')",1,91746,94541,498409.074787,498409.074787,inf
"('28138', '92154')",1,28138,92154,4065197.23234,4065197.23234,inf
"('31401', '31407')",1,31401,31407,11708.1136041,11708.1136041,inf
"('53063', '94545')",1,53063,94545,3816599.50804,3816599.50804,inf
"('11704', '19567')",1,11704,19567,317225.644595,317225.644595,inf
"('33321', '33351')",2,33321,33351,828.63403044,414.31701522,1196.46620643
"('92108', '92116')",1,92108,92116,2195.82888433,2195.82888433,inf
"('47303', '85258')",1,47303,85258,2945742.81703,2945742.81703,inf
"('60085', '90245')",1,60085,90245,3393114.78501,3393114.78501,inf
"('42724', '46804')",1,42724,46804,96448.7034533,96448.7034533,inf
"('55803', '55804')",2,55803,55804,14730.9625889,7365.48129445,21253.2866745
"('27604', '75074')",1,27604,75074,2013348.29159,2013348.29159,inf
"('91311', '92672')",1,91311,92672,119777.348755,119777.348755,inf
"('89148', '92649')",1,89148,92649,328016.12078,328016.12078,inf
"('34990', '94706')",1,34990,94706,4649457.76603,4649457.76603,inf
"('85213', '90301')",1,85213,90301,733118.405551,733118.405551,inf
"('27260', '27263')",2,27260,27263,5740.82457766,2870.41228883,8283.2591488
"('94040', '94043')",2,94040,94043,2558.37544156,1279.18772078,3691.95556227
"('83340', '90802')",1,83340,90802,633010.041138,633010.041138,inf
"('22193', '92618')",1,22193,92618,4486281.98115,4486281.98115,inf
"('76051', '77036')",1,76051,77036,175313.997663,175313.997663,inf
"('22701', '35572')",1,22701,35572,1033655.21014,1033655.21014,inf
"('17074', '37343')",1,17074,37343,900256.164624,900256.164624,inf
"('48880', '98059')",1,48880,98059,4172039.84668,4172039.84668,inf
"('30115', '97006')",1,30115,97006,4265937.22395,4265937.22395,inf
"('63031', '63033')",1,63031,63033,8762.49676146,8762.49676146,inf
"('40509', '90301')",1,40509,90301,3777174.09668,3777174.09668,inf
"('32055', '91746')",1,32055,91746,3930551.45789,3930551.45789,inf
"('77304', '85258')",1,77304,85258,1822645.95244,1822645.95244,inf
"('85258', '97045')",1,85258,97045,1320476.65642,1320476.65642,inf
"('17402', '34203')",1,17402,34203,693832.315028,693832.315028,inf
"('19020', '79022')",1,19020,79022,3074640.16157,3074640.16157,inf
"('44437', '91708')",1,44437,91708,4097881.93005,4097881.93005,inf
"('91436', '91773')",1,91436,91773,75564.9875286,75564.9875286,inf
"('61341', '91730')",1,61341,91730,3210820.85086,3210820.85086,inf
"('53092', '53203')",1,53092,53203,3899.43973028,3899.43973028,inf
"('28803', '78209')",1,28803,78209,1769223.67524,1769223.67524,inf
"('98118', '98134')",2,98118,98134,8028.93693031,4014.46846515,11584.307493
"('84401', '84405')",2,84401,84405,7984.74830761,3992.3741538,11520.5567861
"('77407', '87111')",1,77407,87111,1202988.3898,1202988.3898,inf
"('28216', '91730')",1,28216,91730,4079579.33383,4079579.33383,inf
"('27205', '94595')",1,27205,94595,4693810.85649,4693810.85649,inf
"('11357', '70441')",1,11357,70441,1882248.53423,1882248.53423,inf
"('77092', '96725')",1,77092,96725,6730252.86386,6730252.86386,inf
"('66216', '66226')",2,66216,66226,13103.8912351,6551.94561753,18905.9189012
"('49686', '85258')",1,49686,85258,2920818.07616,2920818.07616,inf
"('30076', '30354')",1,30076,30354,9304.38929841,9304.38929841,inf
"('68801', '68810')",1,68801,68810,19133.467403,19133.467403,inf
"('77388', '85043')",1,77388,85043,1861229.50478,1861229.50478,inf
"('33461', '33462')",2,33461,33462,2189.50804671,1094.75402336,3159.79240098
"('97208', '98258')",1,97208,98258,164031.650857,164031.650857,inf
"('97850', '97862')",1,97850,97862,39569.1334545,39569.1334545,inf
"('36502', '90301')",1,36502,90301,3431591.87086,3431591.87086,inf
"('44483', '90301')",1,44483,90301,4168027.89341,4168027.89341,inf
"('15642', '17013')",1,15642,17013,280933.630989,280933.630989,inf
"('22026', '77056')",1,22026,77056,2015656.2809,2015656.2809,inf
"('78418', '93033')",1,78418,93033,2437366.74043,2437366.74043,inf
"('30741', '91730')",1,30741,91730,3591270.52688,3591270.52688,inf
"('29073', '29206')",1,29073,29206,31203.2465934,31203.2465934,inf
"('33321', '33328')",1,33321,33328,2778.05737525,2778.05737525,inf
"('55369', '92649')",1,55369,92649,2744604.60342,2744604.60342,inf
"('54301', '98466')",1,54301,98466,3838766.99476,3838766.99476,inf
"('84120', '84128')",1,84120,84128,5064.44586801,5064.44586801,inf
"('71360', '91744')",1,71360,91744,2844880.32088,2844880.32088,inf
"('13027', '60544')",1,13027,60544,1318236.87339,1318236.87339,inf
"('72331', '92843')",1,72331,92843,3053995.68208,3053995.68208,inf
"('80907', '93012')",1,80907,93012,1585873.6415,1585873.6415,inf
"('20874', '28023')",1,20874,28023,374599.97842,374599.97842,inf
"('21221', '92614')",1,21221,92614,4598252.27688,4598252.27688,inf
"('44026', '91006')",1,44026,91006,4074792.93764,4074792.93764,inf
"('15221', '15235')",1,15221,15235,4677.26171043,4677.26171043,inf
"('33140', '47901')",1,33140,47901,767307.472271,767307.472271,inf
"('33610', '34711')",1,33610,34711,69938.7883199,69938.7883199,inf
"('85053', '85281')",1,85053,85281,23540.0803488,23540.0803488,inf
"('40447', '80829')",1,40447,80829,2324153.4947,2324153.4947,inf
"('30040', '33605')",1,30040,33605,211364.602242,211364.602242,inf
"('23185', '91744')",1,23185,91744,4581608.26338,4581608.26338,inf
"('91913', '91914')",2,91913,91914,5409.07156655,2704.53578327,7804.64072487
"('84103', '89120')",1,84103,89120,417354.651515,417354.651515,inf
"('18901', '53029')",1,18901,53029,1467344.0866,1467344.0866,inf
"('38120', '92630')",1,38120,92630,3094867.17966,3094867.17966,inf
"('10022', '27408')",1,10022,27408,660020.030916,660020.030916,inf
"('33705', '49301')",1,33705,49301,357927.723178,357927.723178,inf
"('36801', '36854')",1,36801,36854,22927.8118082,22927.8118082,inf
"('60440', '68352')",1,60440,68352,1017841.55844,1017841.55844,inf
"('14086', '14624')",1,14086,14624,99960.4288257,99960.4288257,inf
"('90058', '90065')",1,90058,90065,5842.06073519,5842.06073519,inf
"('19804', '94544')",1,19804,94544,5163073.37347,5163073.37347,inf
"('33615', '91746')",1,33615,91746,3933165.59669,3933165.59669,inf
"('10451', '94112')",1,10451,94112,5393091.66851,5393091.66851,inf
"('77441', '85043')",1,77441,85043,1811577.26836,1811577.26836,inf
"('28518', '47612')",1,28518,47612,1107104.5523,1107104.5523,inf
"('76109', '85258')",1,76109,85258,1613456.35742,1613456.35742,inf
"('55414', '55418')",2,55414,55418,1747.68356589,873.841782943,2522.37441355
"('30720', '30721')",2,30720,30721,9438.18899601,4719.09449801,13617.4284595
"('72904', '85043')",1,72904,85043,1981257.66536,1981257.66536,inf
"('32205', '32222')",1,32205,32222,11967.9863089,11967.9863089,inf
"('96813', '96814')",1,96813,96814,2445.52070383,2445.52070383,inf
"('90802', '92270')",1,90802,92270,197714.011043,197714.011043,inf
"('22727', '22731')",1,22727,22731,4515.85699984,4515.85699984,inf
"('19382', '92507')",1,19382,92507,4632257.81874,4632257.81874,inf
"('63127', '63601')",1,63127,63601,14154.7059996,14154.7059996,inf
"('20002', '20018')",2,20002,20018,1152.88627056,576.443135281,1664.26330525
"('33705', '80911')",1,33705,80911,2445004.58986,2445004.58986,inf
"('32301', '32303')",3,32301,32303,9298.62185742,3099.54061914,8464.97036819
"('10453', '77036')",1,10453,77036,2395540.77739,2395540.77739,inf
"('19702', '91745')",1,19702,91745,4691875.45498,4691875.45498,inf
"('31069', '64150')",1,31069,64150,1208189.98815,1208189.98815,inf
"('75204', '96815')",1,75204,96815,6802696.50963,6802696.50963,inf
"('81003', '81008')",1,81003,81008,4681.74548034,4681.74548034,inf
"('59101', '59106')",1,59101,59106,35783.1041654,35783.1041654,inf
"('33705', '96797')",1,33705,96797,8371530.86396,8371530.86396,inf
"('30354', '43935')",1,30354,43935,413737.790121,413737.790121,inf
"('21202', '77477')",1,21202,77477,2102095.75368,2102095.75368,inf
"('31501', '43506')",1,31501,43506,276696.211272,276696.211272,inf
"('11704', '98503')",1,11704,98503,5489483.22724,5489483.22724,inf
"('90048', '90401')",1,90048,90401,13819.8570022,13819.8570022,inf
"('36075', '60544')",1,36075,60544,259718.725041,259718.725041,inf
"('86403', '86406')",1,86403,86406,26662.9360725,26662.9360725,inf
"('60538', '90631')",1,60538,90631,3291343.30748,3291343.30748,inf
"('11411', '11735')",1,11411,11735,33761.4799402,33761.4799402,inf
"('77590', '78717')",1,77590,78717,314754.253331,314754.253331,inf
"('78666', '94010')",1,78666,94010,2723385.49728,2723385.49728,inf
"('30117', '43130')",1,30117,43130,288817.359088,288817.359088,inf
"('37303', '90058')",1,37303,90058,3733356.17779,3733356.17779,inf
"('72712', '77801')",1,72712,77801,241160.0198,241160.0198,inf
"('60544', '78520')",1,60544,78520,1031667.35264,1031667.35264,inf
"('30093', '96705')",1,30093,96705,8369416.67224,8369416.67224,inf
"('90047', '90301')",1,90047,90301,5586.98595341,5586.98595341,inf
"('48867', '92507')",1,48867,92507,3677849.26714,3677849.26714,inf
"('75070', '91730')",1,75070,91730,2322157.56699,2322157.56699,inf
"('94133', '94608')",1,94133,94608,13669.3059371,13669.3059371,inf
"('30024', '32117')",1,30024,32117,343341.200954,343341.200954,inf
"('33705', '56425')",1,33705,56425,1277619.50555,1277619.50555,inf
"('90044', '91744')",1,90044,91744,39736.9482916,39736.9482916,inf
"('12583', '43085')",1,12583,43085,1017644.08541,1017644.08541,inf
"('77449', '77581')",2,77449,77581,50569.8607428,25284.9303714,72957.8873121
"('81647', '92234')",1,81647,92234,1017539.37602,1017539.37602,inf
